address,district,area,bedrooms,garage,type,rent,total,latitude,longitude,geometry,ID,NM_MESO,CD_GEOCODU,distance_to_schools,distance_to_hospitals,distance_to_parks
Rua Capitao Avelino Carneiro,Penha de França,37,1,0,Apartamento,1490,2017,-23.5229661,-46.5486402,POINT (-46.5486402 -23.5229661),20,METROPOLITANA DE SÃO PAULO,35,100.62410897153939,452.89551169853905,315.11374015787453
Rua Maria José Rangel,Vila São Paulo,65,2,1,Casa,2200,2293,-23.6560774,-46.6711726,POINT (-46.6711726 -23.6560774),20,METROPOLITANA DE SÃO PAULO,35,30.519575118352236,79.52527275256068,1959.9856038271296
Rua Doutor Ferreira Lopes,Vila Sofia,70,3,2,Apartamento,2100,3315,-23.6569475,-46.692619,POINT (-46.692619 -23.6569475),20,METROPOLITANA DE SÃO PAULO,35,70.23123091062317,1003.4802343007445,886.7548867703601
Rua Edmundo Luís de Nóbrega Teixeira,Campo Grande,114,4,2,Casa,3500,3998,-23.6679817,-46.6828891,POINT (-46.6828891 -23.6679817),20,METROPOLITANA DE SÃO PAULO,35,250.14163926752408,816.5293801811247,301.621095425755
Rua Oscar Freire,Cerqueira César,55,2,0,Apartamento,3950,5097,-23.5650996,-46.66673,POINT (-46.66673 -23.5650996),20,METROPOLITANA DE SÃO PAULO,35,306.49294465304314,915.29494909321,391.53830040641765
Rua Almirante Brasil,Mooca,50,2,1,Apartamento,1700,2424,-23.5505419,-46.6074398,POINT (-46.6074398 -23.5505419),20,METROPOLITANA DE SÃO PAULO,35,175.98647954547909,546.1901148125779,1044.3046964693435
Avenida Yervant Kissajikian,Vila Constança,59,3,1,Apartamento,2100,2573,-23.6660255,-46.6767908,POINT (-46.6767908 -23.6660255),20,METROPOLITANA DE SÃO PAULO,35,168.65505713212514,838.5841301779998,744.9302432440679
Rua Professor José Miziara,Santa Teresinha,55,2,1,Apartamento,1900,2532,-23.4897222,-46.6391261,POINT (-46.6391261 -23.4897222),20,METROPOLITANA DE SÃO PAULO,35,194.79110101834516,543.0554027101443,944.5741821204315
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,70,2,1,Apartamento,2450,2955,-23.5354605,-46.7184678,POINT (-46.7184678 -23.5354605),20,METROPOLITANA DE SÃO PAULO,35,57.30369944065299,462.8537822067769,979.206346229645
Rua Iguaré,Tatuapé,54,2,1,Apartamento,1400,2069,-23.531759,-46.5827501,POINT (-46.5827501 -23.531759),20,METROPOLITANA DE SÃO PAULO,35,404.310757814707,765.2257052350881,174.95448556782674
Rua Diogo de Oliveira,Sítio do Morro,50,2,0,Apartamento,1590,1852,-23.5019409,-46.6687303,POINT (-46.6687303 -23.5019409),20,METROPOLITANA DE SÃO PAULO,35,159.70194238416755,415.8586766867875,667.941939810624
Rua Votupoca,Vila Ipojuca,90,4,2,Apartamento,4200,5668,-23.5330242,-46.704804,POINT (-46.704804 -23.5330242),20,METROPOLITANA DE SÃO PAULO,35,145.24617155717874,392.6112427200755,430.51392138988274
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,30,1,0,Apartamento,2122,2453,-23.5248504,-46.6711222,POINT (-46.6711222 -23.5248504),20,METROPOLITANA DE SÃO PAULO,35,343.5462364902309,861.6498659183811,371.3697112907091
Avenida Miguel Frias E Vasconcelos,Jaguaré,80,2,0,Apartamento,3200,4187,-23.5544759,-46.7427941,POINT (-46.7427941 -23.5544759),20,METROPOLITANA DE SÃO PAULO,35,241.7531928423549,1031.934020892013,597.3514362316691
Avenida Santa Marina,Água Branca,78,2,2,Apartamento,4000,4712,-23.5158485,-46.6909303,POINT (-46.6909303 -23.5158485),20,METROPOLITANA DE SÃO PAULO,35,36.139701969256755,1253.9557546160013,535.4003360545453
Rua Erva Imperial,Vila Alpina,45,2,1,Apartamento,1404,1853,-23.6008373,-46.5408341,POINT (-46.5408341 -23.6008373),20,METROPOLITANA DE SÃO PAULO,35,242.6582274129031,137.27348385950913,978.9523977319883
Rua Ponte Pensa,Parada Inglesa,37,2,0,Apartamento,1650,1949,-23.4843493,-46.6051691,POINT (-46.6051691 -23.4843493),20,METROPOLITANA DE SÃO PAULO,35,130.7906350431318,819.2563232749399,333.1053680294788
Rua Speers,Vila Sao Pedro,15,1,0,Studio e kitnet,950,1487,-23.6424873,-46.5286875,POINT (-46.5286875 -23.6424873),20,METROPOLITANA DE SÃO PAULO,35,2931.9618968607824,3073.2374585360976,3619.932759974799
Rua Bento Freitas,República,29,1,0,Studio e kitnet,1300,1682,-23.545592,-46.6455747,POINT (-46.6455747 -23.545592),20,METROPOLITANA DE SÃO PAULO,35,84.502578861416,203.0873679534151,317.35561897854626
Avenida Bartholomeu de Carlos,Jardim Flor da Montanha,38,1,1,Studio e kitnet,1554,2238,-23.4399329,-46.5439573,POINT (-46.5439573 -23.4399329),20,METROPOLITANA DE SÃO PAULO,35,2481.805487401725,2914.6420752741674,3663.8565738043026
Rua Coronel Deraldo Jordão,Ipiranga,120,3,3,Casa,5500,5962,-23.6002693,-46.6193007,POINT (-46.6193007 -23.6002693),20,METROPOLITANA DE SÃO PAULO,35,123.12969110428797,492.68809930290826,1297.7334496388123
Rua Bela Cintra,Consolação,55,1,0,Apartamento,3899,4467,-23.5564177,-46.6618937,POINT (-46.6618937 -23.5564177),20,METROPOLITANA DE SÃO PAULO,35,328.7736043387501,512.3511042390743,89.98792432833143
