address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Desembargador Aragão,Vila Mariana,40,1,1,Studio e kitnet,4900,5471,-23.5931034,-46.6310962
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,32,1,0,Studio e kitnet,2000,2754,-23.5356662,-46.6339209
Rua Antônio Gomes Ferreira,Sacomã,32,2,0,Apartamento,1350,1652,-23.6339516,-46.5941399
Rua Iquiririm,Vila Indiana,28,1,0,Studio e kitnet,1426,1928,-23.5723715,-46.7301476
Rua Anhanguera,Barra Funda,69,2,2,Apartamento,5390,6182,-22.8409311,-43.2996506
Rua Manuel Leiroz,Vila Penteado,41,2,0,Apartamento,1500,1958,-23.5137743,-46.5203076
Praça Doutor Mário Margarido,Liberdade,30,1,0,Apartamento,1092,1474,-23.555078,-46.6288103
Rua José Arzão,Vila Andrade,51,2,0,Apartamento,2480,3529,-23.6188296,-46.7448433
Avenida Padre Arlindo Vieira,Vila Vermelha,71,3,2,Apartamento,1900,2941,-23.6455515,-46.6071237
Rua Luís Filipe Alberti,Jardim Maringá,41,2,1,Apartamento,1400,1951,-23.5548398,-46.5141606
Rua Augusto Farina,Jardim Bonfiglioli,30,1,0,Studio e kitnet,1260,1338,-23.5814571,-46.7406785
Rua João José Pacheco,Jardim Vila Mariana,22,0,0,Studio e kitnet,2200,2808,-23.593823,-46.62384
Rua Coronel Mursa,Brás,20,1,1,Apartamento,2600,2886,-23.548639,-46.6163579
Rua Pangaré,Vila Butantã,38,2,1,Apartamento,1995,2572,-23.5648321,-46.7435774
Rua Bartholomeu do Canto,Vila Palmeiras,34,2,0,Apartamento,1400,1754,-23.5027205,-46.6859103
Avenida do Cursino,Vila Gumercindo,72,3,2,Apartamento,4000,4154,-23.6056639,-46.6161616
Avenida Paes de Barros,Mooca,98,3,1,Apartamento,3000,3889,-23.5675099,-46.5911401
Avenida Engenheiro Thomaz Magalhães,Sítio da Figueira,55,2,1,Apartamento,1750,2168,-23.6032216,-46.5519925
Rua Bento Vieira,Ipiranga,55,2,1,Apartamento,2350,3310,-23.5791229,-46.6036719
Rua Oscar Freire,Pinheiros,19,1,0,Studio e kitnet,3400,3905,-23.5577926,-46.6738109
Rua Francisco Luiz de Souza Júnior,Água Branca,44,2,0,Apartamento,1750,2178,-23.5143643,-46.6888358
Rua Heitor Penteado,Sumarezinho,55,2,1,Apartamento,2300,3039,-23.5461784,-46.6911614
Rua Henrique Sertório,Tatuapé,24,1,0,Studio e kitnet,1900,2430,-23.5394195,-46.5782329
Largo do Arouche,República,30,1,0,Studio e kitnet,2390,3113,-23.5410441,-46.64537328059034
Rua Alfredo Pujol,Santana,26,1,0,Studio e kitnet,2500,2940,-23.5001965,-46.6310225
Rua Gravi,Vila da Saúde,35,1,0,Casa,1400,1424,-23.6125702,-46.6373773
Rua Guaraja,Vila Mazzei,70,2,1,Apartamento,1600,2131,-23.4736287,-46.6010535
Rua Padre Lebret,Jardim Leonor,87,1,2,Apartamento,4500,6010,-21.2038459,-50.4330254
Avenida João Dias,Santo Amaro,67,2,1,Apartamento,1900,2964,-23.6461864,-46.708651
Rua Cristóvão Colombo,Jardim Vila Galvão,45,2,1,Apartamento,1443,1934,-23.4621257,-46.5589622
Rua Capitão Teófilo,Centro,94,3,1,Apartamento,2200,2926,-23.4684118,-46.5315749
Rua Avanhandava,Bela Vista,24,1,0,Studio e kitnet,2350,2892,-23.5523179,-46.6480901
Avenida Nove de Julho,Bela Vista,26,1,0,Studio e kitnet,1250,1629,-23.5606299,-46.6551101
Rua Catulo da Paixão Cearense,Vila da Saúde,75,3,2,Apartamento,3700,5068,-23.6143354,-46.6290832
Avenida Raimundo Pereira de Magalhães,Jardim Iris,45,2,0,Apartamento,3000,3621,-23.4855686,-46.7246819
Rua Jequitinhonha,Campestre,85,3,2,Apartamento,2047,2691,-23.6393171,-46.5482293
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,14,1,0,Studio e kitnet,1750,1818,-23.5720146,-46.717263
Avenida Sapopemba,Jardim Planalto,32,2,0,Apartamento,1800,2169,-23.6108277,-46.5041976
Avenida do Cursino,Vila Moraes,63,2,1,Apartamento,2400,2993,-23.6036363,-46.6154476
Avenida Carlos Ferreira Endres,Vila Endres,50,1,0,Apartamento,916,1000,-23.4870898,-46.5452387
Rua dos Democratas,Vila Monte Alegre,48,2,1,Apartamento,1900,2774,-23.6289782,-46.6330698
Rua Dom Estevão Pimentel,Chácara Belenzinho,56,3,1,Apartamento,2000,2937,-23.5723568,-46.5439395
Rua Álvaro de Carvalho,Centro,26,1,0,Studio e kitnet,2450,2995,-22.7391165,-47.6482136
Avenida dos Ourives,Jardim Sao Saverio,43,2,0,Apartamento,1300,1700,-23.6539478,-46.6124891
Avenida Piassanguaba,Planalto Paulista,27,1,0,Casa,1200,1343,-23.6010973,-46.6540684
Rua Tenente Coronel Soares Neiva,Vila Aricanduva,35,2,0,Apartamento,1481,1788,-23.5340441,-46.5426343
Rua Dom Paulo Pedrosa,Real Parque,80,1,1,Apartamento,3000,4206,-23.6101534,-46.708758
Rua Gomes de Carvalho,Vila Olímpia,75,3,1,Apartamento,3200,4253,-23.5948667,-46.6896067
Rua Camargo Aranha,Pacaembu,350,4,2,Casa,10400,11660,-23.5424904,-46.6684716
Rua Álvaro de Carvalho,Centro,37,2,0,Apartamento,2500,3220,-22.7391165,-47.6482136
Rua 17 de Janeiro,Paraíso do Morumbi,24,1,0,Apartamento,1100,1442,-9.5546526,-35.7907709
Rua Helvétia,Campos Elíseos,45,1,1,Apartamento,3100,3862,-23.5346361,-46.6436693
Rua Gravataí,Consolação,24,1,0,Studio e kitnet,3000,3575,-23.5488591,-46.647762
Rua Mourato Coelho,Pinheiros,34,1,1,Studio e kitnet,3231,4083,-23.566351,-46.6856195
Rua Paim,Bela Vista,50,1,1,Apartamento,4000,4918,-23.5548176,-46.6490388
Rua Cásper Líbero,Paulicéia,65,3,1,Apartamento,1560,2361,-23.6685168,-46.5914282
Rua Armando Pinelli,Taboão,54,2,1,Apartamento,1100,1743,-23.6647543,-46.6091429
Rua José Bento,Cambuci,41,2,0,Apartamento,2090,2511,-23.5634221,-46.6164939
Rua Alves Guimarães,Pinheiros,33,1,0,Studio e kitnet,3417,4018,-23.5516401,-46.6811417
Rua Conde de São Joaquim,Bela Vista,35,1,1,Apartamento,1600,2490,-23.5560084,-46.6395825
Praça Alberto Lion,Cambuci,34,2,0,Apartamento,1443,1829,-23.562555,-46.61134046799562
Rua Francisca Augusta da Rocha,Jardim Mariliza,42,2,0,Casa,1000,1126,-23.4812887,-46.7065304
Rua Danton Vampre,Jardim Maringá,150,3,1,Casa,1880,1960,-23.5490678,-46.510079
Avenida Francisco Rodrigues,Vila Constança,64,2,1,Casa em condomínio,2200,2413,-19.4400602,-42.5964893
Rua Paulistânia,Sumarezinho,31,1,0,Studio e kitnet,2620,3191,-23.5467932,-46.6921502
Rua Marie Nader Calfat,Jardim Ampliação,38,1,1,Studio e kitnet,2400,3014,-23.6276937,-46.7297786
Praça Conde Pedro Leonelli,Vila Rosália,57,2,1,Apartamento,1750,2298,-23.44831115,-46.556695993193216
Rua Adele Zarzur,Jardim São José (zona Norte),50,1,0,Casa,850,887,-23.4810033,-46.7129606
Rua José Pereira Barreto,Jardim Clímax,45,1,1,Casa,1200,1251,-23.6411543,-46.6090478
Rua Santo Antônio,Bela Vista,29,1,0,Apartamento,1700,2199,-22.5959374,-46.5169555
